iter	Passed	Remaining
684	60134	26248
685	60210	26155
686	60290	26064
687	60359	25968
688	60441	25878
689	60535	25793
690	60625	25706
691	60704	25615
692	60797	25529
693	60879	25439
694	60954	25346
695	61045	25260
696	61136	25173
697	61242	25093
698	61337	25008
699	61429	24922
700	61509	24831
701	61601	24746
702	61679	24654
703	61766	24566
704	61866	24483
705	61949	24393
706	62034	24304
707	62129	24219
708	62212	24130
709	62297	24041
710	62385	23954
711	62471	23865
712	62566	23780
713	62664	23696
714	62752	23609
715	62829	23517
716	62911	23427
717	62997	23339
718	63084	23250
719	63177	23165
720	63264	23077
721	63347	22987
722	63422	22895
723	63529	22814
724	63626	22730
725	63714	22642
726	63805	22555
727	63894	22468
728	63993	22384
729	64093	22300
730	64173	22210
731	64274	22127
732	64364	22040
733	64456	21953
734	64541	21864
735	64628	21777
736	64714	21688
737	64794	21598
738	64890	21512
739	64977	21425
740	65067	21338
741	65147	21247
742	65238	21160
743	65336	21076
744	65406	20982
745	65500	20897
746	65595	20811
747	65678	20722
748	65767	20634
749	65846	20544
750	65927	20454
751	66016	20366
752	66099	20277
753	66172	20185
754	66268	20099
755	66368	20015
756	66454	19927
757	66548	19841
758	66629	19751
759	66702	19659
760	66786	19570
761	66872	19482
762	66969	19397
763	67052	19308
764	67151	19223
765	67250	19139
766	67330	19049
767	67427	18964
768	67512	18875
769	67598	18786
770	67690	18700
771	67771	18610
772	67854	18521
773	67949	18435
774	68041	18349
775	68131	18262
776	68222	18175
777	68312	18087
778	68398	17999
779	68470	17907
780	68539	17815
781	68621	17725
782	68708	17637
783	68789	17548
784	68866	17457
785	68967	17373
786	69044	17283
787	69136	17196
788	69209	17104
789	69305	17019
790	69400	16933
791	69475	16842
792	69557	16753
793	69633	16663
794	69719	16574
795	69794	16484
796	69878	16395
797	69967	16308
798	70058	16221
799	70131	16130
800	70220	16042
801	70293	15951
802	70398	15868
803	70476	15778
804	70562	15690
805	70654	15603
806	70750	15517
807	70832	15428
808	70919	15341
809	71014	15254
810	71108	15168
811	71193	15080
812	71285	14993
813	71391	14909
814	71476	14821
815	71576	14736
816	71667	14649
817	71751	14560
818	71836	14472
819	71930	14386
820	72019	14298
821	72094	14208
822	72182	14120
823	72273	14033
824	72365	13946
825	72441	13856
826	72543	13771
827	72633	13684
828	72709	13594
829	72797	13507
830	72891	13420
831	72994	13335
832	73098	13250
833	73198	13165
834	73288	13077
835	73382	12991
836	73468	12903
837	73563	12816
838	73657	12729
839	73745	12642
840	73840	12555
841	73922	12466
842	74024	12381
843	74126	12295
844	74208	12207
845	74292	12118
846	74385	12031
847	74469	11943
848	74545	11853
849	74780	11788
850	74923	11709
851	75028	11624
852	75123	11537
853	75228	11451
854	75309	11362
855	75382	11272
856	75461	11182
857	75545	11094
858	75634	11006
859	75708	10916
860	75789	10827
861	75858	10736
862	75942	10647
863	76025	10559
864	76110	10470
865	76190	10381
866	76286	10294
867	76389	10208
868	76471	10119
869	76563	10032
870	76646	9943
871	76744	9857
872	76823	9767
873	76915	9680
874	77013	9593
875	77113	9507
876	77202	9419
877	77289	9331
878	77369	9242
879	77453	9153
880	77526	9063
881	77612	8975
882	77701	8887
883	77794	8800
884	77893	8713
885	77986	8625
886	78079	8538
887	78185	8452
888	78273	8364
889	78352	8275
890	78443	8187
891	78545	8101
892	78631	8012
893	78734	7926
894	78821	7838
895	78907	7749
896	79001	7662
897	79079	7573
898	79158	7484
899	79250	7396
900	79353	7310
901	79469	7224
902	79561	7136
903	79669	7050
904	79769	6963
905	79851	6874
906	79938	6786
907	80040	6699
908	80107	6609
909	80198	6521
910	80281	6433
911	80364	6344
912	80459	6256
913	80546	6168
914	80649	6081
915	80750	5994
916	80845	5906
917	80942	5819
918	81025	5730
919	81106	5642
920	81184	5553
921	81266	5464
922	81357	5376
923	81437	5288
924	81516	5199
925	81610	5111
926	81720	5024
927	81816	4937
928	81911	4849
929	81995	4761
930	82094	4673
931	82194	4585
932	82278	4497
933	82363	4409
934	82462	4321
935	82577	4234
936	82697	4148
937	82790	4060
938	82892	3972
939	83028	3886
940	83138	3799
941	83222	3710
942	83304	3621
943	83398	3533
944	83472	3444
945	83560	3356
946	83652	3268
947	83730	3179
948	83816	3091
949	83901	3002
950	83976	2914
951	84066	2825
952	84150	2737
953	84248	2649
954	84344	2561
955	84431	2472
956	84517	2384
957	84616	2296
958	84721	2208
959	84807	2120
960	84886	2031
961	84977	1943
962	85059	1854
963	85138	1766
964	85242	1678
965	85337	1590
966	85416	1501
967	85504	1413
968	85591	1324
969	85690	1236
970	85773	1148
971	85851	1059
972	85931	971
973	86007	883
974	86092	794
975	86175	706
976	86252	617
977	86346	529
978	86453	441
979	86540	353
980	86635	264
981	86729	176
982	86834	88
983	86934	0
